org;1.3
dod;1.3.6
internet;1.3.6.1
directory;1.3.6.1.1
mgmt;1.3.6.1.2
mib-2;1.3.6.1.2.1
system;1.3.6.1.2.1.1
sysDescr;1.3.6.1.2.1.1.1
sysObjectID;1.3.6.1.2.1.1.2
sysUpTime;1.3.6.1.2.1.1.3
sysUpTimeInstance;1.3.6.1.2.1.1.3.0
sysContact;1.3.6.1.2.1.1.4
sysName;1.3.6.1.2.1.1.5
sysLocation;1.3.6.1.2.1.1.6
sysServices;1.3.6.1.2.1.1.7
sysORLastChange;1.3.6.1.2.1.1.8
sysORTable;1.3.6.1.2.1.1.9
sysOREntry;1.3.6.1.2.1.1.9.1
sysORIndex;1.3.6.1.2.1.1.9.1.1
sysORID;1.3.6.1.2.1.1.9.1.2
sysORDescr;1.3.6.1.2.1.1.9.1.3
sysORUpTime;1.3.6.1.2.1.1.9.1.4
interfaces;1.3.6.1.2.1.2
ifNumber;1.3.6.1.2.1.2.1
ifTable;1.3.6.1.2.1.2.2
ifEntry;1.3.6.1.2.1.2.2.1
ifIndex;1.3.6.1.2.1.2.2.1.1
ifDescr;1.3.6.1.2.1.2.2.1.2
ifType;1.3.6.1.2.1.2.2.1.3
ifMtu;1.3.6.1.2.1.2.2.1.4
ifSpeed;1.3.6.1.2.1.2.2.1.5
ifPhysAddress;1.3.6.1.2.1.2.2.1.6
ifAdminStatus;1.3.6.1.2.1.2.2.1.7
ifOperStatus;1.3.6.1.2.1.2.2.1.8
ifLastChange;1.3.6.1.2.1.2.2.1.9
ifInOctets;1.3.6.1.2.1.2.2.1.10
ifInUcastPkts;1.3.6.1.2.1.2.2.1.11
ifInNUcastPkts;1.3.6.1.2.1.2.2.1.12
ifInDiscards;1.3.6.1.2.1.2.2.1.13
ifInErrors;1.3.6.1.2.1.2.2.1.14
ifInUnknownProtos;1.3.6.1.2.1.2.2.1.15
ifOutOctets;1.3.6.1.2.1.2.2.1.16
ifOutUcastPkts;1.3.6.1.2.1.2.2.1.17
ifOutNUcastPkts;1.3.6.1.2.1.2.2.1.18
ifOutDiscards;1.3.6.1.2.1.2.2.1.19
ifOutErrors;1.3.6.1.2.1.2.2.1.20
ifOutQLen;1.3.6.1.2.1.2.2.1.21
ifSpecific;1.3.6.1.2.1.2.2.1.22
at;1.3.6.1.2.1.3
atTable;1.3.6.1.2.1.3.1
atEntry;1.3.6.1.2.1.3.1.1
atIfIndex;1.3.6.1.2.1.3.1.1.1
atPhysAddress;1.3.6.1.2.1.3.1.1.2
atNetAddress;1.3.6.1.2.1.3.1.1.3
ip;1.3.6.1.2.1.4
ipForwarding;1.3.6.1.2.1.4.1
ipDefaultTTL;1.3.6.1.2.1.4.2
ipInReceives;1.3.6.1.2.1.4.3
ipInHdrErrors;1.3.6.1.2.1.4.4
ipInAddrErrors;1.3.6.1.2.1.4.5
ipForwDatagrams;1.3.6.1.2.1.4.6
ipInUnknownProtos;1.3.6.1.2.1.4.7
ipInDiscards;1.3.6.1.2.1.4.8
ipInDelivers;1.3.6.1.2.1.4.9
ipOutRequests;1.3.6.1.2.1.4.10
ipOutDiscards;1.3.6.1.2.1.4.11
ipOutNoRoutes;1.3.6.1.2.1.4.12
ipReasmTimeout;1.3.6.1.2.1.4.13
ipReasmReqds;1.3.6.1.2.1.4.14
ipReasmOKs;1.3.6.1.2.1.4.15
ipReasmFails;1.3.6.1.2.1.4.16
ipFragOKs;1.3.6.1.2.1.4.17
ipFragFails;1.3.6.1.2.1.4.18
ipFragCreates;1.3.6.1.2.1.4.19
ipAddrTable;1.3.6.1.2.1.4.20
ipAddrEntry;1.3.6.1.2.1.4.20.1
ipAdEntAddr;1.3.6.1.2.1.4.20.1.1
ipAdEntIfIndex;1.3.6.1.2.1.4.20.1.2
ipAdEntNetMask;1.3.6.1.2.1.4.20.1.3
ipAdEntBcastAddr;1.3.6.1.2.1.4.20.1.4
ipAdEntReasmMaxSize;1.3.6.1.2.1.4.20.1.5
ipRouteTable;1.3.6.1.2.1.4.21
ipRouteEntry;1.3.6.1.2.1.4.21.1
ipRouteDest;1.3.6.1.2.1.4.21.1.1
ipRouteIfIndex;1.3.6.1.2.1.4.21.1.2
ipRouteMetric1;1.3.6.1.2.1.4.21.1.3
ipRouteMetric2;1.3.6.1.2.1.4.21.1.4
ipRouteMetric3;1.3.6.1.2.1.4.21.1.5
ipRouteMetric4;1.3.6.1.2.1.4.21.1.6
ipRouteNextHop;1.3.6.1.2.1.4.21.1.7
ipRouteType;1.3.6.1.2.1.4.21.1.8
ipRouteProto;1.3.6.1.2.1.4.21.1.9
ipRouteAge;1.3.6.1.2.1.4.21.1.10
ipRouteMask;1.3.6.1.2.1.4.21.1.11
ipRouteMetric5;1.3.6.1.2.1.4.21.1.12
ipRouteInfo;1.3.6.1.2.1.4.21.1.13
ipNetToMediaTable;1.3.6.1.2.1.4.22
ipNetToMediaEntry;1.3.6.1.2.1.4.22.1
ipNetToMediaIfIndex;1.3.6.1.2.1.4.22.1.1
ipNetToMediaPhysAddress;1.3.6.1.2.1.4.22.1.2
ipNetToMediaNetAddress;1.3.6.1.2.1.4.22.1.3
ipNetToMediaType;1.3.6.1.2.1.4.22.1.4
ipRoutingDiscards;1.3.6.1.2.1.4.23
ipForward;1.3.6.1.2.1.4.24
ipForwardNumber;1.3.6.1.2.1.4.24.1
ipForwardTable;1.3.6.1.2.1.4.24.2
ipForwardEntry;1.3.6.1.2.1.4.24.2.1
ipForwardDest;1.3.6.1.2.1.4.24.2.1.1
ipForwardMask;1.3.6.1.2.1.4.24.2.1.2
ipForwardPolicy;1.3.6.1.2.1.4.24.2.1.3
ipForwardNextHop;1.3.6.1.2.1.4.24.2.1.4
ipForwardIfIndex;1.3.6.1.2.1.4.24.2.1.5
ipForwardType;1.3.6.1.2.1.4.24.2.1.6
ipForwardProto;1.3.6.1.2.1.4.24.2.1.7
ipForwardAge;1.3.6.1.2.1.4.24.2.1.8
ipForwardInfo;1.3.6.1.2.1.4.24.2.1.9
ipForwardNextHopAS;1.3.6.1.2.1.4.24.2.1.10
ipForwardMetric1;1.3.6.1.2.1.4.24.2.1.11
ipForwardMetric2;1.3.6.1.2.1.4.24.2.1.12
ipForwardMetric3;1.3.6.1.2.1.4.24.2.1.13
ipForwardMetric4;1.3.6.1.2.1.4.24.2.1.14
ipForwardMetric5;1.3.6.1.2.1.4.24.2.1.15
ipCidrRouteNumber;1.3.6.1.2.1.4.24.3
ipCidrRouteTable;1.3.6.1.2.1.4.24.4
ipCidrRouteEntry;1.3.6.1.2.1.4.24.4.1
ipCidrRouteDest;1.3.6.1.2.1.4.24.4.1.1
ipCidrRouteMask;1.3.6.1.2.1.4.24.4.1.2
ipCidrRouteTos;1.3.6.1.2.1.4.24.4.1.3
ipCidrRouteNextHop;1.3.6.1.2.1.4.24.4.1.4
ipCidrRouteIfIndex;1.3.6.1.2.1.4.24.4.1.5
ipCidrRouteType;1.3.6.1.2.1.4.24.4.1.6
ipCidrRouteProto;1.3.6.1.2.1.4.24.4.1.7
ipCidrRouteAge;1.3.6.1.2.1.4.24.4.1.8
ipCidrRouteInfo;1.3.6.1.2.1.4.24.4.1.9
ipCidrRouteNextHopAS;1.3.6.1.2.1.4.24.4.1.10
ipCidrRouteMetric1;1.3.6.1.2.1.4.24.4.1.11
ipCidrRouteMetric2;1.3.6.1.2.1.4.24.4.1.12
ipCidrRouteMetric3;1.3.6.1.2.1.4.24.4.1.13
ipCidrRouteMetric4;1.3.6.1.2.1.4.24.4.1.14
ipCidrRouteMetric5;1.3.6.1.2.1.4.24.4.1.15
ipCidrRouteStatus;1.3.6.1.2.1.4.24.4.1.16
ipForwardConformance;1.3.6.1.2.1.4.24.5
ipForwardGroups;1.3.6.1.2.1.4.24.5.1
ipForwardMultiPathGroup;1.3.6.1.2.1.4.24.5.1.2
ipForwardCidrRouteGroup;1.3.6.1.2.1.4.24.5.1.3
inetForwardCidrRouteGroup;1.3.6.1.2.1.4.24.5.1.4
ipForwardCompliances;1.3.6.1.2.1.4.24.5.2
ipForwardCompliance;1.3.6.1.2.1.4.24.5.2.1
ipForwardOldCompliance;1.3.6.1.2.1.4.24.5.2.2
